[ 3867.456110] tgid, 2415, delta_vrun, 1782, delta_rrun, 52822, prio, 110
[ 3868.560488] tgid, 2739, delta_vrun, 5799, delta_rrun, 5799, prio, 120
[ 3869.771450] tgid, 2039, delta_vrun, 104140, delta_rrun, 105724, prio, 120
[ 3869.914514] tgid, 2739, delta_vrun, 2018, delta_rrun, 2018, prio, 120
[ 3870.387827] tgid, 2415, delta_vrun, 13989, delta_rrun, 130445, prio, 110
[ 3870.573037] tgid, 4437, delta_vrun, 18248, delta_rrun, 18248, prio, 120
[ 3870.961830] tgid, 2039, delta_vrun, 49789, delta_rrun, 49789, prio, 120
[ 3870.996665] tgid, 1840, delta_vrun, 112562, delta_rrun, 114108, prio, 120
[ 3871.039109] tgid, 4842, delta_vrun, 3228750, delta_rrun, 9141495, prio, 120
[ 3871.272116] tgid, 10, delta_vrun, 2270, delta_rrun, 2270, prio, 120
[ 3873.068800] tgid, 2415, delta_vrun, 542, delta_rrun, 299029, prio, 110
[ 3873.411376] tgid, 2039, delta_vrun, 2045, delta_rrun, 2045, prio, 120
[ 3873.491800] tgid, 2397, delta_vrun, 123668, delta_rrun, 123668, prio, 120
[ 3873.630931] tgid, 2739, delta_vrun, 74196, delta_rrun, 74196, prio, 120
[ 3873.686397] tgid, 1840, delta_vrun, 239527, delta_rrun, 244845, prio, 120
[ 3874.275860] tgid, 2415, delta_vrun, 8915, delta_rrun, 85077, prio, 110
[ 3874.662303] tgid, 1840, delta_vrun, 45700, delta_rrun, 45700, prio, 120
[ 3875.283212] tgid, 2039, delta_vrun, 59272, delta_rrun, 59272, prio, 120
[ 3875.454246] tgid, 2039, delta_vrun, 253991, delta_rrun, 253991, prio, 120
[ 3875.509678] tgid, 2739, delta_vrun, 28716, delta_rrun, 28716, prio, 120
[ 3876.617681] tgid, 4723, delta_vrun, 188632, delta_rrun, 188632, prio, 120
[ 3877.058998] tgid, 1840, delta_vrun, 914602, delta_rrun, 914602, prio, 120
[ 3877.678279] tgid, 2014, delta_vrun, 33347, delta_rrun, 33347, prio, 120
[ 3877.819622] tgid, 2011, delta_vrun, 132172, delta_rrun, 132172, prio, 120
[ 3877.856945] tgid, 2910, delta_vrun, 67838, delta_rrun, 69880, prio, 120
[ 3877.867130] tgid, 1, delta_vrun, 3086, delta_rrun, 3086, prio, 120
[ 3877.970078] tgid, 1840, delta_vrun, 49158, delta_rrun, 49158, prio, 120
[ 3877.971501] tgid, 2039, delta_vrun, 70274, delta_rrun, 70274, prio, 120
[ 3878.104709] tgid, 2249, delta_vrun, 91708, delta_rrun, 91708, prio, 120
[ 3878.564997] tgid, 2415, delta_vrun, 6320, delta_rrun, 106197, prio, 110
[ 3878.601722] tgid, 2397, delta_vrun, 16974, delta_rrun, 16974, prio, 120
[ 3878.604994] tgid, 776, delta_vrun, 75680, delta_rrun, 75680, prio, 120
[ 3878.644343] tgid, 2189, delta_vrun, 83065, delta_rrun, 83065, prio, 120
[ 3878.824650] tgid, 1840, delta_vrun, 29969, delta_rrun, 29969, prio, 120
[ 3879.445842] tgid, 2739, delta_vrun, 50651, delta_rrun, 50651, prio, 120
[ 3880.699092] tgid, 2739, delta_vrun, 3872, delta_rrun, 3872, prio, 120
[ 3881.675214] tgid, 2415, delta_vrun, 301, delta_rrun, 187658, prio, 110
[ 3881.708380] tgid, 2415, delta_vrun, 4138, delta_rrun, 38587, prio, 110
[ 3882.132161] tgid, 2039, delta_vrun, 18032, delta_rrun, 18032, prio, 120
[ 3882.332289] tgid, 2078, delta_vrun, 26153, delta_rrun, 239577, prio, 120
[ 3882.648915] tgid, 2415, delta_vrun, 372, delta_rrun, 3473, prio, 110
[ 3883.204224] tgid, 2415, delta_vrun, 752, delta_rrun, 7016, prio, 110
[ 3883.762881] tgid, 2739, delta_vrun, 8886, delta_rrun, 8886, prio, 120
[ 3884.022944] tgid, 2039, delta_vrun, 707155, delta_rrun, 707155, prio, 120
[ 3884.652936] tgid, 2739, delta_vrun, 61938, delta_rrun, 61938, prio, 120
[ 3884.719944] tgid, 1840, delta_vrun, 52389, delta_rrun, 54624, prio, 120
[ 3886.150519] tgid, 2039, delta_vrun, 3111, delta_rrun, 48545, prio, 120
[ 3886.331156] tgid, 2039, delta_vrun, 270145, delta_rrun, 270145, prio, 120
[ 3886.351831] tgid, 2415, delta_vrun, 4974, delta_rrun, 46382, prio, 110
[ 3886.768341] tgid, 2415, delta_vrun, 5816, delta_rrun, 65150, prio, 110
[ 3886.993473] tgid, 1840, delta_vrun, 26883, delta_rrun, 26883, prio, 120
[ 3888.022649] tgid, 2039, delta_vrun, 88683, delta_rrun, 100757, prio, 120
[ 3888.111248] tgid, 2397, delta_vrun, 50532, delta_rrun, 50532, prio, 120
[ 3888.112848] tgid, 2039, delta_vrun, 5423, delta_rrun, 6175, prio, 120
[ 3889.106834] tgid, 2739, delta_vrun, 7594, delta_rrun, 7594, prio, 120
[ 3889.764848] tgid, 2039, delta_vrun, 255264, delta_rrun, 255264, prio, 120
[ 3890.246682] tgid, 2739, delta_vrun, 2759, delta_rrun, 2759, prio, 120
[ 3890.839680] tgid, 2039, delta_vrun, 80219, delta_rrun, 82220, prio, 120
[ 3890.873105] tgid, 1840, delta_vrun, 3071505, delta_rrun, 5355480, prio, 120
[ 3891.173523] tgid, 2415, delta_vrun, 2160, delta_rrun, 182239, prio, 110
[ 3892.737954] tgid, 2415, delta_vrun, 1068, delta_rrun, 9959, prio, 110
[ 3892.804924] tgid, 2415, delta_vrun, 293, delta_rrun, 147522, prio, 110
[ 3893.022826] tgid, 1840, delta_vrun, 184634, delta_rrun, 187604, prio, 120
[ 3893.039350] tgid, 1981, delta_vrun, 60022, delta_rrun, 60022, prio, 120
[ 3893.835390] tgid, 1840, delta_vrun, 28115, delta_rrun, 30446, prio, 120
[ 3894.032829] tgid, 2739, delta_vrun, 3387, delta_rrun, 3387, prio, 120
[ 3894.153804] tgid, 1860, delta_vrun, 415287, delta_rrun, 419562, prio, 120
[ 3894.777718] tgid, 2415, delta_vrun, 8060, delta_rrun, 77266, prio, 110
[ 3895.114700] tgid, 2397, delta_vrun, 78327, delta_rrun, 78327, prio, 120
[ 3895.192875] tgid, 2739, delta_vrun, 35239, delta_rrun, 35239, prio, 120
[ 3896.279473] tgid, 2039, delta_vrun, 344688, delta_rrun, 344688, prio, 120
[ 3897.113894] tgid, 2415, delta_vrun, 4587, delta_rrun, 126876, prio, 110
[ 3897.129665] tgid, 10, delta_vrun, 16108, delta_rrun, 16108, prio, 120
[ 3898.524054] tgid, 2739, delta_vrun, 28519, delta_rrun, 142209, prio, 120
[ 3899.011448] tgid, 2415, delta_vrun, 1162, delta_rrun, 85955, prio, 110
[ 3899.345604] tgid, 2415, delta_vrun, 248, delta_rrun, 2314, prio, 110
[ 3899.955018] tgid, 2739, delta_vrun, 244236, delta_rrun, 244236, prio, 120
[ 3901.161750] tgid, 2415, delta_vrun, 502, delta_rrun, 365406, prio, 110
[ 3901.182003] tgid, 2415, delta_vrun, 10061, delta_rrun, 93813, prio, 110
[ 3902.666660] tgid, 1840, delta_vrun, 48002, delta_rrun, 48002, prio, 120
[ 3903.138931] tgid, 2739, delta_vrun, 6875, delta_rrun, 6875, prio, 120
